TestDataID,Rating
1,4.15563
2,4.1748
3,3.97804
4,2.85311
5,3.50227
6,3.35097
7,4.36675
8,3.24927
9,3.20911
10,2.83301
11,4.53914
12,3.60811
13,3.67852
14,3.76929
15,3.35869
16,3.58097
17,3.87378
18,4.03619
19,4.10881
20,3.60307
21,3.78254
22,4.46741
23,4.02703
24,3.01535
25,3.48783
26,2.55367
27,3.49622
28,3.29179
29,1.69865
30,2.77455
31,2.56988
32,2.86179
33,3.27157
34,2.6723
35,4.25815
36,4.09692
37,3.64442
38,2.69116
39,3.30836
40,1.9035
41,3.32867
42,3.83847
43,2.57683
44,4.37059
45,3.66968
46,3.43546
47,3.01993
48,3.8896
49,3.61135
50,3.80554
51,3.98963
52,3.31729
53,4.32502
54,4.80155
55,4.30754
56,3.24787
57,4.31264
58,2.72723
59,3.9602
60,3.57587
61,3.36061
62,4.14516
63,4.10628
64,3.98167
65,4.37996
66,3.90016
67,3.63538
68,4.05195
69,3.14606
70,4.57983
71,3.23218
72,4.07977
73,2.98978
74,4.04266
75,2.97773
76,2.88695
77,4.28136
78,4.1985
79,4.44334
80,4.0302
81,4.34949
82,3.58525
83,4.326
84,4.6528
85,4.86169
86,4.03102
87,4.65853
88,4.16421
89,3.89035
90,4.37139
91,4.23063
92,3.95203
93,4.21158
94,4.43158
95,4.30782
96,4.30412
97,4.61012
98,4.3268
99,4.14733
100,4.59625
101,3.53849
102,4.32331
103,4.57479
104,4.13656
105,4.19892
106,4.21442
107,4.05831
108,4.93028
109,3.68973
110,3.91485
111,4.74122
112,4.37696
113,4.838
114,3.58068
115,3.94225
116,2.54311
117,3.8943
118,3.4469
119,3.58548
120,2.76472
121,2.03031
122,2.98123
123,4.33378
124,2.57722
125,2.66504
126,4.52912
127,4.2581
128,4.48908
129,3.5215
130,2.59739
131,3.64322
132,3.74236
133,4.01408
134,4.44126
135,2.38056
136,3.78581
137,3.92873
138,3.78644
139,4.08341
140,3.04392
141,2.97877
142,3.4433
143,3.63203
144,3.24475
145,3.50635
146,3.00906
147,3.65011
148,4.11942
149,3.42627
150,2.87017
151,3.44849
152,3.54227
153,3.42977
154,2.13008
155,3.30277
156,3.11869
157,4.21627
158,4.17041
159,2.76323
160,4.05754
161,3.27048
162,3.13227
163,2.75161
164,2.45748
165,2.72607
166,3.1808
167,3.68694
168,3.80883
169,2.96393
170,4.73778
171,4.00863
172,4.42591
