id,value
id_0,25.64438601217737
id_1,61.054418726341886
id_2,18.992667102624036
id_3,31.142584140699572
id_4,11.505157066824461
id_5,37.38362315037473
id_6,39.583110508247074
id_7,17.9319269345256
id_8,52.422689465366226
id_9,35.577889141203094
id_10,40.71474564528254
id_11,59.23186414402947
id_12,36.290182190376065
id_13,45.446646425703186
id_14,26.009349506474237
id_15,12.650365728226776
id_16,52.32496915939463
id_17,24.225599968619942
id_18,20.277160418985954
id_19,21.245811764139383
id_20,14.440660272363676
id_21,30.23256626426812
id_22,38.6437822996108
id_23,11.268368393385385
id_24,61.60851840862766
id_25,48.02079853123859
id_26,29.047077014222694
id_27,8.427358495940528
id_28,27.813419919874583
id_29,37.51154890611822
id_30,20.37400031819429
id_31,11.51267517659252
id_32,15.082984632127998
id_33,9.640392743143305
id_34,19.158602210899065
id_35,38.14227343178782
id_36,18.93636216108561
id_37,27.515071264913505
id_38,6.686222698964171
id_39,61.849953478558184
id_40,48.24508093652875
id_41,14.458080585687672
id_42,50.923913461074044
id_43,16.817024045404356
id_44,48.233898034679825
id_45,51.63813904533856
id_46,62.940117893889884
id_47,39.525490534906254
id_48,54.77230438124806
id_49,44.14225656243327
id_50,30.084621321960167
id_51,24.929386742162148
id_52,39.17021614963947
id_53,27.12028820383393
id_54,37.76193653200192
id_55,40.016536729098924
id_56,26.62758878121706
id_57,22.828861437065992
id_58,37.34375014453428
id_59,30.551227903195173
id_60,17.47214260482627
id_61,18.116567082950336
id_62,32.7080082735054
id_63,58.6107664408048
id_64,53.174391333669455
id_65,28.615200491127023
id_66,44.02091946739207
id_67,52.574238359437906
id_68,29.27739974428351
id_69,40.90804078744938
id_70,64.8692612902515
id_71,54.37539778141289
id_72,46.73575090845724
id_73,11.014209371076097
id_74,13.918624513867686
id_75,39.254628003895775
id_76,63.41664214051555
id_77,2.6006501579975776
id_78,44.700449516262765
id_79,42.88802370503028
id_80,8.609840256160993
id_81,23.273644463753495
id_82,8.046172942324588
id_83,32.47805397076902
id_84,12.79089309633672
id_85,3.844726633464991
id_86,16.15780460501075
id_87,11.111364866820983
id_88,12.27698428005271
id_89,28.40867167388024
id_90,31.736594553165023
id_91,12.43010403157791
id_92,14.16365308019714
id_93,6.726862539629986
id_94,37.00390536473403
id_95,13.860788233574931
id_96,13.987864443028197
id_97,7.8961580852077855
id_98,11.49395567414067
id_99,2.5735517255822855
id_100,11.91484912257404
